"","Entry","Yield","SE","CI_L","CI_U"
"43","MON200099-MON101065-MON101068-MON101082",183.6000992693,14.2724220108878,155.62153055281,211.57866798579
"44","MON200107-MON101065-MON101068-MON101082",175.473400001636,13.7546881398083,148.509757320671,202.437042682601
"45","MON200132-MON101065-MON101068-MON101082",183.214850001636,13.7546881398083,156.251207320672,210.178492682601
"46","MON200132-MON200014-MON101065-MON101068-MON101082",181.564000001636,13.7546881398083,154.600357320672,208.527642682601
"47","MON200132-MON200016-MON101065-MON101068-MON101082",189.811575001636,13.7546881398083,162.847932320672,216.775217682601
"48","MON200137-MON101065-MON101068-MON101082",199.195650001636,13.7546881398083,172.232007320672,226.159292682601
"49","MON200152-MON101065-MON101068-MON101082",182.298300001636,13.7546881398083,155.334657320672,209.261942682601
"50","MON200159-MON101065-MON101068-MON101082",185.639125001636,13.7546881398083,158.675482320672,212.602767682601
"51","MON200173-MON101065-MON101068-MON101082",177.825525001636,13.7546881398083,150.861882320671,204.789167682601
"52","MON200202-MON101065-MON101082-MON101068",178.890900001636,13.7546881398083,151.927257320672,205.854542682601
"53","MON200219-MON101065-MON101068-MON101082",191.049750001636,13.7546881398083,164.086107320672,218.013392682601
"54","MON200236-MON101065-MON101082-MON101068",178.098425001636,13.7546881398083,151.134782320672,205.062067682601
"55","MON200259-MON101065-MON101068-MON101082",187.200300001636,13.7546881398083,160.236657320672,214.163942682601
"56","MON200282-MON101065-MON101068-MON101082",192.669075001636,13.7546881398083,165.705432320672,219.632717682601
"57","MON200291-MON101065-MON101068-MON101082",187.757525001636,13.7546881398083,160.793882320672,214.721167682601
"58","MON200325-MON101065-MON101068-MON101082",193.830375001636,13.7546881398083,166.866732320672,220.794017682601
"59","MON200325-MON200014-MON101065-MON101068-MON101082",185.598625001636,13.7546881398083,158.634982320671,212.562267682601
"60","MON200325-MON200016-MON101065-MON101068-MON101082",188.406150001636,13.7546881398083,161.442507320672,215.369792682601
"61","MON200325-MON200132-MON101065-MON101068-MON101082",185.908125001636,13.7546881398083,158.944482320672,212.871767682601
"62","MON200329-MON101065-MON101068-MON101082",186.113950001636,13.7546881398083,159.150307320672,213.077592682601
"63","MON200389-MON101065-MON101068-MON101082",193.602850001636,13.7546881398083,166.639207320672,220.566492682601
"64","MON200389-MON200014-MON101065-MON101068-MON101082",185.698250001636,13.7546881398083,158.734607320672,212.661892682601
"65","MON200389-MON200016-MON101065-MON101068-MON101082",190.291900292704,15.2552600673169,160.386650731295,220.197149854113
"66","MON200389-MON200074-MON101065-MON101068-MON101082",183.806875001636,13.7546881398083,156.843232320672,210.770517682601
"67","MON200389-MON200096-MON101065-MON101068-MON101082",190.836950001636,13.7546881398083,163.873307320672,217.800592682601
