factor1,absoluteRange,absoluteColumn,locationID,repId,response
"MON201001,MON101065,MON101082,MON101068",1,1,ARJO,1,153.8441
MON101066,1,1,ARJO,1,163.9674
"MON101065,MON101066,MON101068,MON101082",1,1,ARJO,1,177.5032
"MON101065,MON101082,MON101068",1,1,ARJO,1,169.1341
"MON101065,MON101082,MON101068",1,1,ARJO,1,186.1006
"MON101065,MON101082,MON101068",1,1,ARJO,1,167.3472
"MON101065,MON101082,MON101068",1,1,ARJO,1,147.5808
"MON101065,MON101082,MON101068",1,1,ARJO,1,184.5465
"MON101065,MON101082,MON101068",1,1,ARJO,1,180.7889
"MON101065,MON101082,MON101068",1,1,ARJO,1,184.7495
"MON101065,MON101082,MON101068",1,1,ARJO,1,179.7198
"MON201170,MON101065,MON101082,MON101068",1,1,ARJO,1,178.4174
"MON201169,MON101065,MON101082,MON101068",1,1,ARJO,1,171.8086
"MON201165,MON101065,MON101082,MON101068",1,1,ARJO,1,181.3429
"MON201154,MON101065,MON101082,MON101068",1,1,ARJO,1,169.2896
"MON201150,MON101065,MON101082,MON101068",1,1,ARJO,1,177.8189
"MON201148,MON101065,MON101082,MON101068",1,1,ARJO,1,186.056
"MON201147,MON101065,MON101082,MON101068",1,1,ARJO,1,164.3016
"MON201162,MON101065,MON101082,MON101068",1,1,ARJO,1,184.0738
"MON201145,MON101065,MON101082,MON101068",1,1,ARJO,1,175.0833
"MON201161,MON101065,MON101082,MON101068",1,1,ARJO,1,170.7541
"MON201159,MON101065,MON101082,MON101068",1,1,ARJO,1,194.97
"MON201158,MON101065,MON101082,MON101068",1,1,ARJO,1,187.9959
"MON201144,MON101065,MON101082,MON101068",1,1,ARJO,1,179.3662
"MON201155,MON101065,MON101082,MON101068",1,1,ARJO,1,164.3872
"MON201141,MON101065,MON101082,MON101068",1,1,ARJO,1,197.9025
"MON201139,MON101065,MON101082,MON101068",1,1,ARJO,1,168.7317
"MON201137,MON101065,MON101082,MON101068",1,1,ARJO,1,171.0459
"MON201136,MON101065,MON101082,MON101068",1,1,ARJO,1,181.8526
"MON201131,MON101065,MON101082,MON101068",1,1,ARJO,1,189.9129
"MON201130,MON101065,MON101082,MON101068",1,1,ARJO,1,185.5406
"MON201127,MON101065,MON101082,MON101068",1,1,ARJO,1,172.3064
"MON201125,MON101065,MON101082,MON101068",1,1,ARJO,1,178.6236
"MON201123,MON101065,MON101082,MON101068",1,1,ARJO,1,174.0394
"MON201122,MON101065,MON101082,MON101068",1,1,ARJO,1,189.5935
"MON201121,MON101065,MON101082,MON101068",1,1,ARJO,1,186.1129
"MON201111,MON101065,MON101082,MON101068",1,1,ARJO,1,176.6644
"MON201120,MON101065,MON101082,MON101068",1,1,ARJO,1,177.7469
"MON201110,MON101065,MON101082,MON101068",1,1,ARJO,1,182.7182
"MON201108,MON101065,MON101082,MON101068",1,1,ARJO,1,174.1519
"MON201117,MON101065,MON101082,MON101068",1,1,ARJO,1,150.969
"MON201116,MON101065,MON101082,MON101068",1,1,ARJO,1,164.3075
"MON201103,MON101065,MON101082,MON101068",1,1,ARJO,1,182.4407
"MON201101,MON101065,MON101082,MON101068",1,1,ARJO,1,162.4728
"MON201100,MON101065,MON101082,MON101068",1,1,ARJO,1,177.3046
"MON201099,MON101065,MON101082,MON101068",1,1,ARJO,1,180.5804
"MON201095,MON101065,MON101082,MON101068",1,1,ARJO,1,184.6245
"MON201092,MON101065,MON101082,MON101068",1,1,ARJO,1,178.45
"MON201090,MON101065,MON101082,MON101068",1,1,ARJO,1,176.3747
"MON101065,MON101082,MON101068",1,1,ARJO,1,186.7813
"MON201088,MON101065,MON101082,MON101068",1,1,ARJO,1,171.0402
"MON101065,MON101082,MON101068",1,1,ARJO,1,184.8325
"MON201087,MON101065,MON101082,MON101068",1,1,ARJO,1,184.0679
"MON101065,MON101082,MON101068",1,1,ARJO,1,177.5696
MON101066,1,1,ARJO,1,167.8484
"MON101065,MON101082,MON101068",1,1,ARJO,1,179.5987
"MON101065,MON101082,MON101068",1,1,ARJO,1,188.6774
"MON201164,MON101065,MON101082,MON101068",1,1,ARJO,1,184.4164
"MON201149,MON101065,MON101082,MON101068",1,1,ARJO,1,167.1844
"MON201163,MON101065,MON101082,MON101068",1,1,ARJO,1,182.6311
"MON201151,MON101065,MON101082,MON101068",1,1,ARJO,1,175.8719
"MON201166,MON101065,MON101082,MON101068",1,1,ARJO,1,170.7066
"MON201153,MON101065,MON101082,MON101068",1,1,ARJO,1,196.7876
"MON201167,MON101065,MON101082,MON101068",1,1,ARJO,1,188.405
"MON201168,MON101065,MON101082,MON101068",1,1,ARJO,1,170.9019
"MON201160,MON101065,MON101082,MON101068",1,1,ARJO,1,172.5195
"MON201152,MON101065,MON101082,MON101068",1,1,ARJO,1,172.3672
"MON201172,MON101065,MON101082,MON101068",1,1,ARJO,1,176.1677
"MON201171,MON101065,MON101082,MON101068",1,1,ARJO,1,172.9211
"MON101065,MON101068,MON101082,MON101149",1,1,ARJO,1,184.0147
"MON101065,MON101082,MON101068",1,1,ARJO,1,175.0022
"MON101065,MON101082,MON101068",1,1,ARJO,1,189.5688
"MON101065,MON101082,MON101068",1,1,ARJO,1,164.9987
"MON201091,MON101065,MON101082,MON101068",1,1,ARJO,1,153.6126
"MON201093,MON101065,MON101082,MON101068",1,1,ARJO,1,189.3699
"MON201096,MON101065,MON101082,MON101068",1,1,ARJO,1,164.3766
"MON201097,MON101065,MON101082,MON101068",1,1,ARJO,1,177.5518
"MON201098,MON101065,MON101082,MON101068",1,1,ARJO,1,184.1792
"MON201102,MON101065,MON101082,MON101068",1,1,ARJO,1,186.777
"MON201089,MON101065,MON101082,MON101068",1,1,ARJO,1,167.0943
"MON201104,MON101065,MON101082,MON101068",1,1,ARJO,1,172.4492
"MON201115,MON101065,MON101082,MON101068",1,1,ARJO,1,169.5679
"MON201106,MON101065,MON101082,MON101068",1,1,ARJO,1,184.1875
"MON201107,MON101065,MON101082,MON101068",1,1,ARJO,1,185.2502
"MON201118,MON101065,MON101082,MON101068",1,1,ARJO,1,194.2828
"MON201109,MON101065,MON101082,MON101068",1,1,ARJO,1,181.6478
"MON201119,MON101065,MON101082,MON101068",1,1,ARJO,1,204.2693
"MON201105,MON101065,MON101082,MON101068",1,1,ARJO,1,165.0123
"MON201112,MON101065,MON101082,MON101068",1,1,ARJO,1,177.6264
"MON201124,MON101065,MON101082,MON101068",1,1,ARJO,1,177.8241
"MON201126,MON101065,MON101082,MON101068",1,1,ARJO,1,184.97
"MON201128,MON101065,MON101082,MON101068",1,1,ARJO,1,174.074
"MON201135,MON101065,MON101082,MON101068",1,1,ARJO,1,164.701
"MON201129,MON101065,MON101082,MON101068",1,1,ARJO,1,178.5078
"MON201132,MON101065,MON101082,MON101068",1,1,ARJO,1,174.0194
"MON201114,MON101065,MON101082,MON101068",1,1,ARJO,1,185.3722
"MON201133,MON101065,MON101082,MON101068",1,1,ARJO,1,171.5683
"MON201134,MON101065,MON101082,MON101068",1,1,ARJO,1,171.9838
"MON201140,MON101065,MON101082,MON101068",1,1,ARJO,1,174.3079
"MON201142,MON101065,MON101082,MON101068",1,1,ARJO,1,174.8526
"MON201143,MON101065,MON101082,MON101068",1,1,ARJO,1,181.7823
"MON201156,MON101065,MON101082,MON101068",1,1,ARJO,1,189.3906
"MON201157,MON101065,MON101082,MON101068",1,1,ARJO,1,164.9927
"MON201138,MON101065,MON101082,MON101068",1,1,ARJO,1,178.2131
"MON201113,MON101065,MON101082,MON101068",1,1,ARJO,1,169.6564
"MON201258,MON101065,MON101082,MON101068",1,1,ARJO,1,179.1751
"MON201257,MON101065,MON101082,MON101068",1,1,ARJO,1,165.9254
"MON201256,MON101065,MON101082,MON101068",1,1,ARJO,1,172.035
"MON201255,MON101065,MON101082,MON101068",1,1,ARJO,1,168.2332
"MON201254,MON101065,MON101082,MON101068",1,1,ARJO,1,158.5217
"MON201253,MON101065,MON101082,MON101068",1,1,ARJO,1,166.1379
"MON201252,MON101065,MON101082,MON101068",1,1,ARJO,1,150.5016
"MON201250,MON101065,MON101082,MON101068",1,1,ARJO,1,172.5541
"MON201249,MON101065,MON101082,MON101068",1,1,ARJO,1,163.8051
"MON201248,MON101065,MON101082,MON101068",1,1,ARJO,1,163.4476
"MON201246,MON101065,MON101082,MON101068",1,1,ARJO,1,164.664
"MON201245,MON101065,MON101082,MON101068",1,1,ARJO,1,171.072
"MON201233,MON101065,MON101082,MON101068",1,1,ARJO,1,182.6875
"MON201232,MON101065,MON101082,MON101068",1,1,ARJO,1,145.4601
"MON201231,MON101065,MON101082,MON101068",1,1,ARJO,1,163.2203
"MON201230,MON101065,MON101082,MON101068",1,1,ARJO,1,178.1013
"MON201229,MON101065,MON101082,MON101068",1,1,ARJO,1,180.4028
"MON201228,MON101065,MON101082,MON101068",1,1,ARJO,1,164.8725
"MON201227,MON101065,MON101082,MON101068",1,1,ARJO,1,181.4605
"MON201226,MON101065,MON101082,MON101068",1,1,ARJO,1,158.8044
"MON201225,MON101065,MON101082,MON101068",1,1,ARJO,1,170.6906
"MON201214,MON101065,MON101082,MON101068",1,1,ARJO,1,160.9336
"MON201212,MON101065,MON101082,MON101068",1,1,ARJO,1,177.4043
"MON201211,MON101065,MON101082,MON101068",1,1,ARJO,1,190.5388
"MON201210,MON101065,MON101082,MON101068",1,1,ARJO,1,167.1919
"MON201208,MON101065,MON101082,MON101068",1,1,ARJO,1,162.4033
"MON201207,MON101065,MON101082,MON101068",1,1,ARJO,1,180.4041
"MON201206,MON101065,MON101082,MON101068",1,1,ARJO,1,176.26
"MON201205,MON101065,MON101082,MON101068",1,1,ARJO,1,175.0022
"MON201244,MON101065,MON101082,MON101068",1,1,ARJO,1,160.8688
"MON201243,MON101065,MON101082,MON101068",1,1,ARJO,1,147.8022
"MON201242,MON101065,MON101082,MON101068",1,1,ARJO,1,168.6799
"MON201241,MON101065,MON101082,MON101068",1,1,ARJO,1,173.2687
"MON201240,MON101065,MON101082,MON101068",1,1,ARJO,1,158.228
"MON201238,MON101065,MON101082,MON101068",1,1,ARJO,1,165.2784
"MON201237,MON101065,MON101082,MON101068",1,1,ARJO,1,171.7075
"MON201236,MON101065,MON101082,MON101068",1,1,ARJO,1,175.6761
"MON201235,MON101065,MON101082,MON101068",1,1,ARJO,1,164.6305
"MON201224,MON101065,MON101082,MON101068",1,1,ARJO,1,166.4705
"MON201223,MON101065,MON101082,MON101068",1,1,ARJO,1,146.1078
"MON201222,MON101065,MON101082,MON101068",1,1,ARJO,1,152.6475
"MON201221,MON101065,MON101082,MON101068",1,1,ARJO,1,176.4427
"MON201220,MON101065,MON101082,MON101068",1,1,ARJO,1,193.2298
"MON201219,MON101065,MON101082,MON101068",1,1,ARJO,1,169.387
"MON201218,MON101065,MON101082,MON101068",1,1,ARJO,1,183.1065
"MON201217,MON101065,MON101082,MON101068",1,1,ARJO,1,153.8375
"MON201216,MON101065,MON101082,MON101068",1,1,ARJO,1,154.734
"MON201215,MON101065,MON101082,MON101068",1,1,ARJO,1,147.1476
"MON201204,MON101065,MON101082,MON101068",1,1,ARJO,1,173.3841
"MON201203,MON101065,MON101082,MON101068",1,1,ARJO,1,153.8038
"MON201202,MON101065,MON101082,MON101068",1,1,ARJO,1,161.359
"MON201201,MON101065,MON101082,MON101068",1,1,ARJO,1,165.7895
"MON201200,MON101065,MON101082,MON101068",1,1,ARJO,1,146.3111
"MON201199,MON101065,MON101082,MON101068",1,1,ARJO,1,172.6042
"MON201198,MON101065,MON101082,MON101068",1,1,ARJO,1,178.5859
"MON201197,MON101065,MON101082,MON101068",1,1,ARJO,1,164.9303
"MON201196,MON101065,MON101082,MON101068",1,1,ARJO,1,193.3963
"MON201195,MON101065,MON101082,MON101068",1,1,ARJO,1,183.5829
"MON201194,MON101065,MON101082,MON101068",1,1,ARJO,1,172.2768
"MON201193,MON101065,MON101082,MON101068",1,1,ARJO,1,144.5977
"MON201192,MON101065,MON101082,MON101068",1,1,ARJO,1,174.5423
"MON201191,MON101065,MON101082,MON101068",1,1,ARJO,1,159.3642
"MON201189,MON101065,MON101082,MON101068",1,1,ARJO,1,150.7903
"MON201188,MON101065,MON101082,MON101068",1,1,ARJO,1,139.2441
"MON201187,MON101065,MON101082,MON101068",1,1,ARJO,1,171.4974
"MON201186,MON101065,MON101082,MON101068",1,1,ARJO,1,172.008
"MON201185,MON101065,MON101082,MON101068",1,1,ARJO,1,178.8801
"MON201184,MON101065,MON101082,MON101068",1,1,ARJO,1,172.622
"MON201183,MON101065,MON101082,MON101068",1,1,ARJO,1,175.9615
"MON201182,MON101065,MON101082,MON101068",1,1,ARJO,1,171.9218
"MON201181,MON101065,MON101082,MON101068",1,1,ARJO,1,171.6503
"MON201180,MON101065,MON101082,MON101068",1,1,ARJO,1,163.6229
"MON201179,MON101065,MON101082,MON101068",1,1,ARJO,1,153.7031
"MON201178,MON101065,MON101082,MON101068",1,1,ARJO,1,163.1906
"MON201177,MON101065,MON101082,MON101068",1,1,ARJO,1,164.6287
"MON201176,MON101065,MON101082,MON101068",1,1,ARJO,1,163.5496
"MON201175,MON101065,MON101082,MON101068",1,1,ARJO,1,186.38
"MON201174,MON101065,MON101082,MON101068",1,1,ARJO,1,158.9023
"MON201173,MON101065,MON101082,MON101068",1,1,ARJO,1,176.2757
MON101066,1,1,ARJO,1,195.0454
MON101149,1,1,ARJO,1,178.1029
"MON101065,MON101082,MON101068",1,1,ARJO,1,174.3465
"MON101065,MON101082,MON101068",1,1,ARJO,1,170.2205
"MON101065,MON101082,MON101068",1,1,ARJO,1,181.2046
