job_output_id,configuration_id,observation_code,end_time
"",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,
"""1YGOtckj8TCqfkM4YsmgDB9aU97""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 17:34:32.778
"""1YGOzvq3n8L66Azbw8t4jnWVWgW""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 17:35:25.638
"""1YGPBynYStVuxh03MSI5hbITnRK""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 17:37:00.145
"""1YGUIHBekxWU7d3rd3JkIuxTzEt""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:18:58.932
"""1YGPQSiZstWghBMfOpU1gvfIzHG""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 17:38:55.037
"",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,
"",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,
"""1YGPWwidE0j0DD6J1fdO63VwhP8""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 17:39:49.509
"",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,
"""1YGUmKarcJoUY2CiqPVlqa0Aj8o""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:22:57.748
"""1YGPhtPbJIAQghN9TB296cpa2xF""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 17:41:15.795
"""1YGPmfNpiqsTqFoFfVCMYnMbyaV""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 17:41:37.181
"""1YGPrYWkPXPRhAlbUBb5lmqRStW""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 17:42:31.541
"""1YGPuekw2oS9l8sAxRfUkIuytDt""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 17:42:57.925
"""1YGPxTDboTsezUkocE513kUMXkD""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 17:43:18.988
"""1YGQ2TGkWEh80SZpADuuQvcl9lb""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 17:44:00.852
"""1YGQ5maDZtauxtCZ4eGAej1XUcR""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 17:44:25.507
"""1YGQDCuXcMA7UYWe0VcHEcwsZ5z""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 17:45:22.977
"""1YGQP1XM6WWiAPxiKxxG4excRuj""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:46:58.366
"""1YGQVsZ9ELPI9zh3GetZsgiLMlI""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 17:47:49.945
"""1YGQco1FcJPvNU6F9OBvCqybJjs""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:48:45.298
"""1YGQj2xW5o2DC5ACpKxrgnpNuBE""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 17:49:36.92
"""1YGQqNBs26MnD3noZQB3oLNPJFa""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 17:50:34.673
"""1YGQvDmCETanuCTK6SeQIgfM7c1""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 17:51:14.148
"""1YGR0QGSED2ac4NisLeIQUCQviR""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,MST,2020-02-24 17:51:55.117
"""1YGR7OBpRGj973DioV9qZpilwXk""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 17:52:50.576
"""1YGRIVQ2OqTb1IpHnUKSmhu2CYm""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 17:54:19.079
"""1YGROjaWVTDnv1rcyBbxwoeunsk""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:55:11.341
"""1YGRRuFqlUwAs9RvXZmKI9BJ5cH""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:55:35.478
"""1YGRUtxQf2fgL6RBkCjwrlLlBA3""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 17:56:00.343
"""1YGRa2s5HdICxDPLenc5jSbhAtL""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 17:56:39.241
"""1YGReWt4HJopRIoD396S6An6xJx""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:57:16.283
"""1YGRhASwU7WHahsBmscxm2Q22T5""",401b9e43-587f-486a-b08a-782dfe30d2da,YLD,2020-02-24 17:57:35.509
"",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,
"""1YGRpg5bMmbmAmaT3nUvPbOxSVV""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 17:58:45.344
"""1YGRsRVWskhFxUAnE9BRpex0XOf""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 17:59:05.574
"",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:14:07.885
"""1YGS1GdGy0P1oW7W5LauuLlkJ6m""",30fcd3c8-3cf3-48c2-ae03-158b3090dec8,YLD,2020-02-24 18:00:14.62
"""1YGS4an5tEclZ0ODIr3eiijogEi""",401b9e43-587f-486a-b08a-782dfe30d2da,MST,2020-02-24 18:00:45.354
"""1YGS74U3kg8QdXKc7U5HGBVyT68""",ed391b1a-bf41-4cda-8636-427091d8213c,YLD,2020-02-24 18:01:03.146
