job_output_id,configuration_id,observation_code,end_time
,401b9e43-587f-486a-b08a-782dfe30d2da,GQU,2020-02-23 03:09:39.579
,401b9e43-587f-486a-b08a-782dfe30d2da,DINP,2020-02-18 04:10:18.097
,401b9e43-587f-486a-b08a-782dfe30d2da,DSR,2020-02-23 03:12:03.184
,401b9e43-587f-486a-b08a-782dfe30d2da,RTLP,2020-02-23 03:14:45.327
,401b9e43-587f-486a-b08a-782dfe30d2da,BRSCR,2020-02-23 03:14:46.691
,401b9e43-587f-486a-b08a-782dfe30d2da,DEFG,2020-02-23 03:17:11.255
,401b9e43-587f-486a-b08a-782dfe30d2da,GQU,2020-02-23 03:17:19.039
,401b9e43-587f-486a-b08a-782dfe30d2da,TILP,2020-02-21 18:50:37.888
,401b9e43-587f-486a-b08a-782dfe30d2da,DSR,2020-02-21 18:50:39.396
,401b9e43-587f-486a-b08a-782dfe30d2da,DEFG,2020-02-21 18:50:40.681
,ed391b1a-bf41-4cda-8636-427091d8213c,SBLP,2020-02-22 02:16:14.245
,401b9e43-587f-486a-b08a-782dfe30d2da,TDPP,2020-02-21 18:52:55.232
,401b9e43-587f-486a-b08a-782dfe30d2da,DSR,2020-02-21 18:52:56.55
,ed391b1a-bf41-4cda-8636-427091d8213c,DSR,2020-02-22 02:16:16.533
,401b9e43-587f-486a-b08a-782dfe30d2da,STLC,2020-02-21 18:52:58.083
,401b9e43-587f-486a-b08a-782dfe30d2da,DSR,2020-02-23 03:12:11.304
,401b9e43-587f-486a-b08a-782dfe30d2da,DSR,2020-02-23 03:12:19.095
,401b9e43-587f-486a-b08a-782dfe30d2da,BARP,2020-02-23 03:12:24.243
,401b9e43-587f-486a-b08a-782dfe30d2da,DSR,2020-02-23 03:12:25.631
,401b9e43-587f-486a-b08a-782dfe30d2da,DEFG,2020-02-23 03:12:26.899
,401b9e43-587f-486a-b08a-782dfe30d2da,SBLR,2020-02-23 03:12:28.509
,ed391b1a-bf41-4cda-8636-427091d8213c,HSC,2020-02-25 02:12:23.324
,401b9e43-587f-486a-b08a-782dfe30d2da,TILP,2020-02-23 03:12:30.104
,d89a035e-b470-424d-ac70-a6dd43f08ef2,RTLP,2020-02-26 02:14:13.128
,401b9e43-587f-486a-b08a-782dfe30d2da,DINP,2020-02-23 03:14:48.111
,ed391b1a-bf41-4cda-8636-427091d8213c,DSR,2020-02-25 02:12:23.76
,ed391b1a-bf41-4cda-8636-427091d8213c,RTLC,2020-02-25 02:12:24.46
,d89a035e-b470-424d-ac70-a6dd43f08ef2,PV,2020-02-26 02:14:23.344
,ed391b1a-bf41-4cda-8636-427091d8213c,TILP,2020-02-25 02:12:25.092
